hodnota,rok,orp,okres,kraj,typHodnoty,pohlavi,vekovaSkupina
1821.8289474925,2016,,,CZ010,1,0,0
1469.9429738931,2016,,,CZ020,1,0,0
7702.0931934007,2016,,,CZ031,1,0,0
3173.0945678782,2016,,,CZ032,1,0,0
4531.5269560772,2016,,,CZ041,1,0,0
3802.2619481941,2016,,,CZ042,1,0,0
3982.6979478803,2016,,,CZ051,1,0,0
3005.5680842996,2016,,,CZ052,1,0,0
1568.8612785135,2016,,,CZ053,1,0,0
2780.1181098496,2016,,,CZ063,1,0,0
1771.5799526242,2016,,,CZ064,1,0,0
1940.9192200996,2016,,,CZ071,1,0,0
1972.2505157022,2016,,,CZ072,1,0,0
2331.2809498141,2016,,,CZ080,1,0,0
2690.831595251,2016,,,CZ000,1,0,0
1306.4,2008,,CZ0805,,1,0,0
2947.5,2013,,CZ0805,,1,0,0
1476.6,2007,,CZ0723,,1,0,0
1471.3,2008,,CZ0723,,1,0,0
0,2015,,CZ0801,,1,0,0
3281.76,2007,,CZ0803,,1,0,0
5898.2,2008,,CZ0802,,1,0,0
2191.5,2012,,CZ0631,,1,0,0
2415.5,2007,,CZ0631,,1,0,0
1647.2,2010,,CZ0533,,1,0,0
4745.8,2010,,CZ0632,,1,0,0
1518.6,2012,,CZ0633,,1,0,0
3627,2011,,CZ0642,,1,0,0
398.23,2007,,CZ0643,,1,0,0
2949.3,2011,,CZ0635,,1,0,0
2090.4,2011,,CZ0641,,1,0,0
1068.6,2011,,CZ0634,,1,0,0
1131.8,2010,,CZ0634,,1,0,0
1634.5,2008,,CZ0646,,1,0,0
2768.8,2010,,CZ0645,,1,0,0
0,2015,,CZ0646,,1,0,0
2101.9,2008,,CZ0711,,1,0,0
1745.4,2013,,CZ0712,,1,0,0
1307.7,2009,,CZ0714,,1,0,0
0,2015,,CZ0714,,1,0,0
2087.1,2011,,CZ0722,,1,0,0
1120,2008,,CZ0715,,1,0,0
2366,2013,,CZ0715,,1,0,0
948.3,2010,,CZ0721,,1,0,0
1639.1,2011,,,CZ020,1,0,0
0,2015,,,CZ020,1,0,0
0,1999,,,CZ020,1,0,0
2365.6,2004,,,CZ031,1,0,0
2436.2,2013,,,CZ041,1,0,0
0,1995,,,CZ032,1,0,0
1661.2,2009,,,CZ041,1,0,0
0,2014,,,CZ032,1,0,0
0,1998,,,CZ032,1,0,0
3383.6,2006,,,CZ032,1,0,0
3608.2,2013,,,CZ051,1,0,0
2382,2009,,,CZ051,1,0,0
1884.8,2003,,,CZ051,1,0,0
0,1999,,,CZ051,1,0,0
0,1999,,,CZ042,1,0,0
2305.3,2003,,,CZ042,1,0,0
0,1996,,,CZ042,1,0,0
1611,2010,,,CZ042,1,0,0
2596.3,2012,,,CZ042,1,0,0
3405.9,2010,,,CZ052,1,0,0
0,2014,,,CZ052,1,0,0
0,1998,,,CZ052,1,0,0
2934.2,2001,,,CZ052,1,0,0
2547.2,2012,,,CZ053,1,0,0
